# RNA expression levels in TPM (transcripts per million transcripts)
# At 0'..30' time points after rifampin inhibition of RNA synthesis
#
gene	class	0m	3m	6m	9m	12m	15m	18m	21m	24m	27m	30m
nxkB	early	21.00	10.99	3.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
owtW	early	6.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mxeL	early	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ghlA	early	581.10	557.73	514.62	445.49	359.20	300.69	253.43	212.66	166.90	128.91	84.05
swkJ	early	1318.24	1203.42	953.30	765.12	610.64	423.57	345.22	226.64	166.90	119.91	89.05
aayZ	early	91.02	57.97	57.96	57.93	39.91	27.97	15.96	14.98	14.99	7.99	12.01
bdvA	middle	247.04	285.86	324.76	357.59	373.17	375.62	359.19	370.41	328.80	362.73	310.17
hpzA	early	279.05	231.89	197.85	159.82	131.71	111.89	62.86	53.91	43.97	38.97	29.02
lmqU	middle	4.00	3.00	1.00	7.99	1.00	4.00	0.00	2.00	2.00	1.00	3.00
rspG	early	150.03	95.95	106.92	64.93	48.89	24.97	16.96	9.98	5.00	6.00	0.00
kofV	early	43.01	25.99	11.99	3.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
xfzY	middle	27.00	33.98	39.97	22.97	31.93	41.96	31.93	35.94	40.98	28.98	39.02
njnA	middle	23.00	29.99	13.99	16.98	4.99	3.00	1.00	0.00	0.00	1.00	0.00
dgoF	early	43.01	24.99	17.99	3.00	3.99	1.00	0.00	1.00	0.00	1.00	0.00
2-Sep	late	1127.20	1681.19	2088.47	2530.09	3051.19	3420.50	3934.13	4481.83	4926.05	5380.05	5647.17
trvP	middle	64.01	56.97	55.96	66.92	60.86	59.94	44.90	53.91	34.98	40.97	46.03
srmE	middle	47.01	47.98	45.97	41.95	29.93	27.97	21.95	19.97	13.99	8.99	10.01
pobB	middle	53.01	61.97	27.98	13.98	6.98	4.99	2.00	2.00	1.00	0.00	0.00
wtqX	early	3.00	1.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sweT	early	82.01	67.97	61.95	42.95	27.94	17.98	20.95	10.98	2.00	4.00	2.00
mtpW	early	72.01	56.97	34.97	30.96	21.95	27.97	19.96	10.98	8.99	4.00	6.00
wxyZ	early	54.01	52.97	35.97	32.96	29.93	23.98	24.94	13.98	12.99	9.99	7.00
aeyY	middle	2.00	0.00	3.00	3.00	1.00	2.00	0.00	0.00	0.00	2.00	2.00
wgsP	early	431.08	342.84	250.82	204.76	136.69	87.91	64.85	38.94	30.98	12.99	10.01
oltG	early	50.01	38.98	41.97	37.96	25.94	34.96	18.96	20.97	11.99	14.99	11.01
horD	early	44.01	27.99	24.98	22.97	17.96	8.99	8.98	7.99	5.00	1.00	1.00
csiB	middle	4.00	8.00	3.00	9.99	6.98	6.99	4.99	8.99	8.00	7.99	7.00
enoQ	middle	23.00	34.98	29.98	29.97	16.96	18.98	18.96	15.97	9.99	17.99	12.01
pdhG	early	36.01	25.99	12.99	6.99	2.99	1.00	0.00	0.00	0.00	0.00	0.00
llwK	early	16.00	10.99	8.99	7.99	2.99	2.00	2.00	1.00	1.00	1.00	1.00
wotK	early	104.02	103.95	97.93	65.92	68.85	51.95	53.88	26.96	20.99	19.99	14.01
kgbU	middle	1.00	6.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ickP	middle	425.08	448.78	436.68	403.54	382.15	282.71	269.39	227.64	177.89	148.89	138.08
zuiZ	early	99.02	73.96	59.96	46.95	37.92	16.98	17.96	11.98	8.00	5.00	0.00
oiqZ	middle	304.05	347.83	325.76	335.61	296.34	289.70	264.40	261.58	213.87	174.87	141.08
utpB	middle	434.08	460.78	482.65	425.51	367.18	328.66	288.35	226.64	197.88	188.86	160.09
ftaL	early	62.01	46.98	36.97	30.96	10.98	7.99	5.99	4.99	4.00	3.00	0.00
idiZ	middle	433.08	485.77	554.59	646.26	577.71	551.44	500.87	480.23	443.73	426.69	382.21
unfI	middle	986.18	1045.50	913.33	794.09	703.43	610.38	485.90	423.32	300.82	261.81	217.12
rjmM	early	33.01	22.99	17.99	17.98	8.98	5.99	5.99	2.00	1.00	1.00	2.00
hdeR	middle	124.02	139.93	115.91	107.88	84.81	50.95	54.88	34.94	33.98	28.98	21.01
xpnF	middle	168.03	223.89	198.85	200.77	216.52	228.77	190.57	198.68	201.88	183.86	177.10
axcA	early	123.02	101.95	97.93	73.91	62.86	54.94	28.93	37.94	23.99	19.99	7.00
qroR	early	88.02	87.96	74.94	57.93	35.92	27.97	15.96	7.99	4.00	6.99	8.00
xkjT	middle	104.02	117.94	137.90	163.81	164.63	180.82	200.55	232.63	196.88	194.86	194.11
ghvM	middle	8.00	9.00	4.00	2.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00
wkjC	early	477.09	265.87	124.91	67.92	20.95	15.98	4.99	3.99	0.00	0.00	0.00
mqkU	early	49.01	21.99	11.99	4.99	2.99	2.00	1.00	1.00	0.00	1.00	0.00
xqgP	early	58.01	52.97	47.96	15.98	11.97	14.98	8.98	5.99	2.00	0.00	0.00
lgvL	early	161.03	103.95	76.94	43.95	27.94	12.99	12.97	9.98	4.00	2.00	1.00
aluN	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
wnfP	early	37.01	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ceuQ	early	145.03	106.95	92.93	71.92	67.85	46.95	33.92	27.96	18.99	9.99	8.00
sacG	middle	717.13	721.65	713.48	668.23	575.71	516.47	473.93	397.36	331.80	271.80	225.13
loaD	middle	70.01	70.97	80.94	87.90	99.78	91.91	93.79	86.86	92.94	83.94	89.05
idwG	late	918.16	1299.38	1646.79	2058.63	2342.77	2760.18	3192.80	3585.26	3906.66	4389.77	4841.72
jdsA	middle	581.10	636.69	557.59	563.35	477.93	435.55	373.16	308.51	245.85	205.85	172.10
wctN	early	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
bdjV	early	67.01	42.98	24.98	9.99	3.99	3.00	0.00	1.00	1.00	0.00	0.00
kxaE	early	3.00	2.00	2.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
uroZ	early	25.00	8.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ludV	early	11.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
xkzO	middle	1042.19	1128.46	1113.18	1161.66	1001.76	1018.96	934.89	856.63	721.57	613.55	528.30
phfE	middle	11.00	14.99	5.00	4.00	4.99	3.00	2.99	0.00	5.00	0.00	0.00
zesJ	early	64.01	39.98	7.99	6.99	2.99	2.00	1.00	0.00	0.00	0.00	0.00
qqaH	late	1495.27	1883.10	2341.28	2552.06	2996.31	3171.76	3462.20	3645.17	3812.72	3985.07	4240.38
iwnJ	early	13.00	3.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
rqgO	early	99.02	83.96	65.95	51.94	61.86	35.96	30.93	15.97	15.99	6.00	10.01
etzD	early	29.01	4.00	4.00	2.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00
tnmZ	early	463.08	258.88	138.90	72.92	27.94	23.98	2.00	3.00	0.00	0.00	0.00
alrI	middle	223.04	236.89	252.81	218.75	203.55	222.77	198.55	182.71	165.90	158.88	120.07
ubxS	middle	1564.28	1686.19	1626.81	1612.14	1391.89	1290.68	1171.36	978.43	771.54	724.47	627.35
oocE	middle	4.00	9.00	2.00	4.00	0.00	2.00	0.00	0.00	0.00	0.00	0.00
idhK	middle	182.03	183.91	187.86	177.80	180.60	180.82	130.71	113.82	115.93	92.93	80.04
raoO	early	16.00	5.00	5.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tboM	early	11.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
zokG	early	36.01	29.99	6.99	3.00	1.00	0.00	1.00	0.00	0.00	0.00	0.00
mtkU	middle	251.04	268.87	249.82	261.70	217.51	229.77	196.56	173.72	141.92	130.90	91.05
yppI	early	33.01	18.99	6.00	8.99	4.99	4.00	1.00	1.00	1.00	0.00	0.00
lkjB	early	1.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
qwqY	early	62.01	32.98	6.99	4.99	0.00	2.00	0.00	1.00	0.00	0.00	0.00
ijiK	early	12.00	8.00	5.00	3.00	3.99	3.00	2.00	0.00	0.00	0.00	0.00
qywJ	early	2173.39	1482.29	920.32	576.34	311.30	167.83	94.79	60.90	17.99	21.98	8.00
kriH	early	23.00	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
jqyV	early	26.00	13.99	6.00	5.99	2.00	2.00	0.00	0.00	2.00	0.00	0.00
skrI	early	20.00	9.00	6.99	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
oscT	early	11.00	4.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
riaP	early	54.01	43.98	23.98	17.98	10.98	8.99	6.98	3.99	6.00	3.00	2.00
cmdL	middle	58.01	63.97	69.95	56.93	47.89	40.96	25.94	27.96	20.99	13.99	13.01
gvoO	early	1314.24	940.55	578.58	338.61	235.47	112.88	63.86	30.95	20.99	10.99	6.00
uqpE	early	325.06	234.89	152.89	110.87	59.87	27.97	23.95	13.98	2.00	2.00	3.00
yevU	middle	197.04	201.90	210.85	204.76	198.56	172.82	148.66	134.78	118.93	112.92	86.05
nosV	early	665.12	495.76	277.80	151.83	95.79	39.96	21.95	9.98	4.00	6.99	2.00
hjbJ	middle	41.01	67.97	71.95	71.92	97.78	82.92	77.82	83.87	72.96	78.94	88.05
qdcU	early	77.01	64.97	48.96	36.96	21.95	16.98	12.97	5.99	6.00	2.00	1.00
uwoS	early	25.00	9.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
jrnB	early	31.01	6.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
vzdV	early	241.04	225.89	178.87	136.84	112.75	50.95	39.91	35.94	20.99	23.98	12.01
govH	early	35.01	24.99	12.99	11.99	12.97	4.99	2.00	3.00	1.00	0.00	0.00
qjvT	early	70.01	39.98	12.99	7.99	5.99	3.00	1.00	0.00	0.00	0.00	0.00
zohW	early	18.00	7.00	6.99	4.00	4.99	1.00	0.00	0.00	0.00	0.00	0.00
rjqO	early	914.16	818.61	662.51	555.36	395.12	326.67	246.44	169.73	117.93	79.94	64.04
ogiD	early	11.00	4.00	3.00	2.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
vniN	early	152.03	30.99	8.99	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
guoS	early	95.02	9.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
dhnZ	early	9.00	4.00	5.00	4.99	0.00	1.00	1.00	0.00	0.00	0.00	0.00
nyyM	middle	41.01	31.98	35.97	44.95	30.93	34.96	23.95	17.97	14.99	11.99	16.01
diiO	early	106.02	66.97	29.98	38.96	13.97	14.98	11.97	11.98	3.00	1.00	3.00
ghzO	middle	13.00	10.00	18.99	17.98	13.97	11.99	5.99	7.99	6.00	10.99	6.00
zuuW	early	78.01	75.96	72.95	57.93	56.87	64.93	47.89	37.94	28.98	40.97	37.02
dtvH	middle	855.15	948.54	995.27	932.93	928.93	884.10	854.07	711.86	692.59	616.55	539.30
vyiA	middle	505.09	583.72	515.62	521.40	465.96	385.61	365.18	300.52	285.83	250.82	205.12
nldG	early	61.01	27.99	14.99	8.99	4.99	2.00	0.00	2.00	1.00	0.00	0.00
bpeR	early	7.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
doaO	early	57.01	44.98	28.98	15.98	7.98	4.00	1.00	2.00	2.00	2.00	1.00
iowE	middle	69.01	79.96	50.96	28.97	24.94	9.99	9.98	5.99	5.00	1.00	2.00
uooI	early	9.00	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
xjkR	middle	112.02	144.93	146.89	183.79	181.59	180.82	221.50	194.69	201.88	189.86	182.10
jhhF	middle	57.01	47.98	52.96	53.94	67.85	74.92	52.88	57.91	55.97	50.96	37.02
bhdB	early	38.01	9.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sdgP	middle	36.01	39.98	40.97	39.95	34.92	12.99	17.96	14.98	8.99	14.99	7.00
mdjZ	middle	69.01	73.96	68.95	90.90	83.81	64.93	69.84	63.90	47.97	61.95	67.04
xkzB	middle	3074.55	3533.30	3761.24	3807.62	3683.77	3515.41	3400.34	3207.87	2894.27	2708.01	2430.36
kvdP	early	14.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
hrzV	early	18.00	9.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
joeK	early	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
knqL	early	250.04	243.88	200.85	168.81	117.74	80.92	65.85	38.94	37.98	34.97	8.00
lobF	middle	2.00	2.00	1.00	3.00	1.00	0.00	2.00	0.00	1.00	0.00	0.00
ubuE	early	483.09	394.81	314.77	236.73	178.60	132.86	103.77	55.91	41.97	24.98	17.01
fbtG	early	68.01	59.97	37.97	23.97	19.96	8.99	8.98	4.99	2.00	2.00	1.00
flmL	early	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ezhB	early	150.03	99.95	61.95	47.94	31.93	20.98	6.98	8.99	3.00	5.00	5.00
qoxO	early	30.01	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sieM	middle	417.07	426.80	429.68	382.56	283.37	270.72	240.46	198.68	149.91	106.92	99.06
ahaJ	early	40.01	18.99	9.99	2.00	2.00	2.00	0.00	0.00	0.00	0.00	0.00
eebV	late	3471.62	4681.75	6048.56	7447.43	8858.22	10406.36	11810.38	13374.60	15001.03	16547.84	18133.17
gheU	early	60.01	49.98	41.97	37.96	17.96	15.98	8.98	7.99	6.00	1.00	1.00
tiqL	early	33.01	23.99	28.98	21.97	13.97	4.99	5.99	4.99	2.00	2.00	0.00
vwaZ	early	6.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lhpR	early	35.01	27.99	20.98	20.98	17.96	9.99	10.98	3.99	5.00	2.00	1.00
vymB	early	41.01	17.99	7.99	1.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00
vilI	early	325.06	304.85	276.80	247.71	187.58	163.83	128.71	77.88	70.96	45.97	47.03
jqcT	early	53.01	50.98	27.98	13.98	12.97	4.00	3.99	3.00	2.00	0.00	0.00
codQ	middle	29.01	24.99	23.98	31.96	35.92	33.97	24.94	21.96	24.99	19.99	12.01
zzyT	early	156.03	117.94	95.93	94.89	72.84	55.94	32.93	31.95	14.99	14.99	11.01
uuaS	early	170.03	161.92	126.91	95.89	79.82	56.94	39.91	20.97	13.99	18.99	9.01
ksrZ	early	28.01	15.99	10.99	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
nspN	early	279.05	231.89	219.84	170.80	156.65	100.90	64.85	56.91	56.97	26.98	37.02
vhzH	middle	618.11	604.71	703.48	673.23	654.54	599.39	537.79	481.23	427.74	355.74	368.21
nnyE	middle	1.00	0.00	0.00	1.00	0.00	3.00	1.00	0.00	0.00	2.00	0.00
qghK	early	13.00	6.00	3.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
uexE	early	18.00	4.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00
zwoR	early	12.00	3.00	2.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
hycK	middle	493.09	661.68	684.50	746.14	744.34	761.22	757.29	725.84	678.59	652.52	636.36
hzyJ	early	126.02	113.95	66.95	58.93	50.89	27.97	23.95	13.98	9.99	8.99	4.00
ifoR	middle	48.01	76.96	45.97	32.96	30.93	24.97	22.95	13.98	9.99	9.99	13.01
qwgB	early	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ahpD	middle	11.00	15.99	7.99	18.98	19.96	14.98	11.97	17.97	18.99	14.99	17.01
jbyE	middle	526.09	604.71	553.59	565.35	530.81	461.53	456.97	405.35	356.79	306.77	292.16
jrlT	middle	145.03	177.91	191.86	197.77	156.65	169.83	139.69	134.78	129.92	114.92	95.05
ukuP	early	245.04	117.94	48.96	18.98	14.97	3.00	0.00	0.00	0.00	0.00	0.00
vkuA	early	13.00	10.99	0.00	1.00	0.00	1.00	1.00	1.00	0.00	0.00	0.00
ukeZ	late	81.01	77.96	92.93	105.88	126.72	132.86	160.64	165.73	172.90	177.87	207.12
olpO	middle	98.02	137.93	147.89	154.82	165.63	170.83	177.60	183.71	172.90	171.87	143.08
bqiF	early	64.01	27.99	18.99	7.99	2.00	3.00	0.00	2.00	0.00	0.00	0.00
eoiC	early	25.00	6.00	7.99	4.00	2.99	2.00	0.00	0.00	1.00	0.00	0.00
gksE	middle	1.00	3.00	6.99	3.00	2.99	1.00	0.00	4.99	1.00	1.00	3.00
onrV	early	15.00	9.00	7.99	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
jcuE	early	2194.39	1590.24	1159.15	723.17	452.99	325.67	168.62	107.83	66.96	39.97	16.01
gumE	early	199.04	160.92	147.89	134.84	121.73	73.92	52.88	57.91	28.98	41.97	28.02
fafS	early	12.00	4.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
lahZ	middle	27.00	34.98	34.97	28.97	28.94	22.98	9.98	18.97	14.99	21.98	21.01
jpgJ	early	10.00	10.00	6.99	3.00	0.00	1.00	1.00	0.00	0.00	0.00	0.00
dczC	early	28.01	11.99	5.00	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
pmbG	early	124.02	11.99	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nvmF	early	14.00	7.00	4.00	0.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00
rncK	early	16.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
xbaI	early	245.04	10.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
gvpI	middle	261.05	285.86	308.77	298.66	280.37	295.70	253.43	281.55	235.86	217.84	180.10
gzhN	early	84.02	63.97	47.96	46.95	27.94	18.98	18.96	15.97	5.00	4.00	5.00
nuwQ	early	36.01	18.99	2.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
ocrB	early	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
jucW	early	86.02	31.98	14.99	7.99	0.00	1.00	0.00	0.00	0.00	0.00	0.00
npqK	middle	69.01	85.96	96.93	76.91	77.83	59.94	51.88	46.92	41.97	36.97	29.02
egmN	early	6.00	1.00	1.00	0.00	5.99	0.00	0.00	0.00	0.00	0.00	0.00
lrkR	early	5.00	3.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ssnZ	early	301.05	293.86	189.86	121.86	92.79	72.93	54.88	22.96	16.99	10.99	11.01
cfhH	early	68.01	41.98	16.99	3.00	2.00	0.00	2.00	0.00	0.00	0.00	0.00
ssuW	middle	70.01	65.97	72.95	58.93	55.88	49.95	56.87	53.91	41.97	29.98	20.01
gepA	middle	72.01	63.97	74.94	45.95	26.94	14.98	18.96	8.99	8.00	9.99	2.00
shfA	middle	7.00	10.99	3.00	4.99	2.99	1.00	1.00	1.00	2.00	0.00	0.00
nrgF	middle	32.01	30.99	24.98	37.96	36.92	31.97	19.96	23.96	27.98	22.98	25.01
ycjC	early	702.13	234.89	80.94	21.97	8.98	3.00	0.00	0.00	1.00	0.00	0.00
jtqS	early	114.02	80.96	69.95	45.95	33.92	16.98	14.97	10.98	8.99	6.99	1.00
wobM	early	52.01	43.98	34.97	40.95	28.94	34.96	27.94	26.96	23.99	29.98	18.01
vcgY	early	26.00	14.99	4.00	3.00	2.00	0.00	0.00	0.00	0.00	0.00	0.00
cpbR	middle	42.01	47.98	41.97	35.96	30.93	15.98	23.95	12.98	10.99	6.00	9.01
xgpB	early	12.00	7.00	2.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
cvmO	middle	65.01	61.97	74.94	55.94	64.86	45.95	54.88	34.94	29.98	34.97	32.02
yxtS	early	102.02	46.98	38.97	10.99	3.99	3.00	1.00	0.00	0.00	0.00	0.00
kxkL	late	513.09	761.63	861.37	1014.83	1120.50	1279.69	1283.11	1366.81	1448.13	1430.95	1467.82
heoR	early	0.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
vjoA	early	648.12	386.81	222.84	118.86	64.86	24.97	11.97	7.99	8.99	2.00	0.00
occY	early	11.00	2.00	3.00	0.00	0.00	0.00	1.00	0.00	0.00	0.00	0.00
pdmO	middle	193.03	204.90	206.85	180.79	161.64	141.86	122.72	116.81	84.95	70.95	70.04
tyaK	early	24.00	18.99	6.99	4.00	1.00	2.00	0.00	0.00	0.00	0.00	0.00
mabL	early	261.05	202.90	171.87	121.86	86.81	54.94	33.92	26.96	24.99	6.99	5.00
kgzN	middle	962.17	1074.48	1053.23	1040.80	968.84	883.10	747.32	685.90	590.65	510.62	444.25
mgkJ	early	284.05	239.88	149.89	118.86	81.82	49.95	17.96	21.96	20.99	16.99	9.01
twfU	middle	9.00	9.00	11.99	7.99	6.98	4.99	5.99	7.99	0.00	2.00	1.00
kxpW	early	21.00	10.00	10.99	5.99	2.00	2.00	1.00	1.00	0.00	0.00	0.00
ynqP	middle	249.04	277.87	270.80	276.68	262.41	213.78	217.51	181.71	161.90	140.90	128.07
lhnV	early	145.03	133.94	88.93	69.92	48.89	35.96	30.93	20.97	8.99	14.99	10.01
dwpR	middle	15.00	15.99	9.99	7.99	2.00	4.00	2.00	1.00	1.00	2.00	1.00
mdyP	early	5.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
xyeS	middle	293.05	330.84	326.76	358.59	380.15	322.67	297.33	298.52	272.84	226.83	252.14
rxxL	middle	221.04	224.89	253.81	258.70	225.50	243.75	224.49	214.66	215.87	161.88	170.10
ubeM	early	26.00	22.99	10.99	12.99	2.99	4.99	2.00	0.00	0.00	0.00	0.00
wwwH	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
nwmA	middle	2.00	3.00	2.00	2.00	1.00	0.00	0.00	1.00	0.00	0.00	0.00
bckU	early	87.02	48.98	15.99	6.99	2.99	2.00	1.00	0.00	0.00	0.00	0.00
wagG	early	39.01	34.98	30.98	22.97	13.97	12.99	8.98	5.99	0.00	2.00	1.00
txhF	early	2.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
tojO	early	105.02	99.95	69.95	60.93	65.85	43.96	33.92	22.96	22.99	17.99	8.00
zgrZ	early	709.13	621.70	603.56	478.45	421.06	284.71	246.44	168.73	130.92	79.94	70.04
uaaU	early	856.15	283.86	103.92	42.95	9.98	3.00	1.00	1.00	0.00	0.00	0.00
lruQ	middle	16.00	34.98	36.97	26.97	17.96	22.98	15.96	14.98	20.99	11.99	19.01
ezlR	middle	11.00	5.00	11.99	11.99	12.97	16.98	7.98	6.99	9.99	4.00	4.00
xawU	middle	161.03	163.92	104.92	89.90	62.86	44.95	45.90	18.97	18.99	19.99	14.01
rphJ	early	46.01	32.98	44.97	34.96	30.93	22.98	24.94	16.97	10.99	7.99	7.00
hvxC	middle	35.01	29.99	29.98	38.96	39.91	24.97	21.95	25.96	23.99	12.99	25.01
eafA	early	62.01	31.98	21.98	5.99	2.99	0.00	0.00	0.00	0.00	0.00	0.00
fdaM	late	72.01	87.96	96.93	105.88	128.71	130.87	128.71	126.80	122.93	132.90	139.08
ycqY	middle	123.02	142.93	131.90	128.85	127.71	133.86	121.73	109.82	122.93	122.91	98.06
bsqB	middle	199.04	262.87	321.76	289.67	321.28	322.67	367.17	344.45	348.79	326.76	279.16
viiQ	early	10.00	2.00	1.00	1.00	1.00	1.00	0.00	0.00	0.00	0.00	0.00
sqtU	early	60.01	16.99	1.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mrsK	late	539.10	743.64	913.33	1077.76	1276.15	1475.49	1618.35	1737.22	1899.86	2089.46	2274.28
nan	early	12.00	3.00	3.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
sbgP	early	269.05	232.89	215.84	156.82	153.66	90.91	68.84	47.92	41.97	28.98	15.01
etsJ	middle	7.00	22.99	13.99	19.98	14.97	13.99	14.97	17.97	11.99	10.99	15.01
imnT	early	11.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
uhjB	middle	38.01	44.98	39.97	30.96	25.94	13.99	18.96	13.98	9.99	2.00	7.00
shvB	early	19.00	8.00	12.99	8.99	1.00	4.00	2.00	0.00	0.00	0.00	0.00
xxtF	middle	155.03	207.90	240.82	290.67	326.27	357.63	343.23	382.39	401.76	364.73	377.21
tsqD	early	432.08	410.80	345.75	312.64	257.43	189.81	169.62	131.79	99.94	69.95	53.03
mxsT	middle	6.00	7.00	1.00	2.00	2.99	0.00	2.00	0.00	0.00	0.00	0.00
qjeS	early	261.05	260.87	212.84	148.83	149.67	123.87	92.79	75.88	44.97	25.98	26.01
zkwL	late	861.15	1196.43	1502.90	1799.93	1926.70	2276.67	2504.36	2747.60	2894.27	3006.79	3192.79
aksV	middle	26.00	41.98	36.97	36.96	36.92	31.97	32.93	32.95	28.98	25.98	21.01
yhfO	middle	10.00	15.99	3.00	6.99	1.00	3.00	1.00	0.00	0.00	2.00	0.00
miuZ	early	102.02	57.97	23.98	5.99	4.99	0.00	0.00	0.00	0.00	0.00	0.00
ttlL	middle	3591.64	4678.75	5369.06	6015.08	6546.38	6833.02	7276.60	7576.88	7861.30	7830.24	7723.33
csvW	early	24.00	18.99	22.98	14.98	7.98	10.99	9.98	9.98	3.00	1.00	1.00
dyeX	middle	11.00	18.99	17.99	24.97	12.97	19.98	20.95	14.98	14.99	10.99	9.01
sboE	early	124.02	79.96	40.97	9.99	13.97	10.99	5.99	0.00	1.00	1.00	0.00
aybK	early	560.10	335.84	237.83	116.87	62.86	36.96	21.95	5.99	1.00	5.00	1.00
itcB	early	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
mliJ	early	4.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
bogF	early	455.08	436.79	370.73	254.71	202.55	141.86	120.73	84.86	44.97	38.97	19.01
uqfO	early	21.00	8.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
pswD	early	9.00	5.00	6.00	4.00	6.98	2.00	2.99	3.00	4.00	2.00	0.00
yfoM	early	66.01	50.98	34.97	29.97	22.95	18.98	8.98	5.99	5.00	4.00	3.00
lssF	early	15.00	7.00	5.00	2.00	0.00	2.00	2.00	0.00	1.00	0.00	0.00
gbmZ	middle	113.02	116.94	95.93	83.90	91.80	64.93	59.87	51.92	43.97	35.97	21.01
qqaW	middle	11.00	9.00	11.99	6.99	10.98	8.99	6.98	5.99	8.00	8.99	7.00
llkJ	middle	1.00	7.00	1.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
ulcR	early	18.00	9.00	2.00	0.00	2.00	1.00	0.00	0.00	1.00	0.00	0.00
keqI	middle	638.11	598.71	694.49	603.31	632.59	606.38	555.75	511.18	472.72	372.73	381.21
jnsL	middle	383.07	391.81	323.76	322.63	266.41	217.78	180.59	179.71	128.92	88.93	82.05
